date,gross,net,n_long,n_short,regime
2022-11-13,0.013335307082249484,0.011735307082249484,6,6,high
2022-11-14,0.0002090896856510923,-0.0013909103143489078,6,6,high
2022-11-15,-0.004620790416662876,-0.0062207904166628756,6,6,high
2022-11-16,-0.010185567682054126,-0.011785567682054127,6,6,high
2022-11-17,0.007560461738235186,0.005960461738235186,6,6,high
2022-11-18,-0.01675435208084612,-0.018354352080846122,6,6,high
2022-11-19,0.01225609654006448,0.01065609654006448,6,6,high
2022-11-20,0.010819036028770344,0.009219036028770344,6,6,high
2022-11-21,0.012832372411629836,0.011232372411629835,6,6,high
2022-11-22,0.01638214285978959,0.014782142859789588,6,6,high
2022-11-23,-0.017950722223973703,-0.019550722223973704,6,6,high
2022-11-24,0.014025325917597484,0.012425325917597483,6,6,high
2022-11-25,3.710947973159431e-05,-0.0015628905202684058,6,6,high
2022-11-26,-0.006747514207192523,-0.008347514207192524,6,6,high
2022-11-27,0.0010042483046190688,-0.0005957516953809313,6,6,high
2022-11-28,0.0067183636216151185,0.005118363621615119,6,6,high
2022-11-29,0.021301868352419026,0.019701868352419025,6,6,high
2022-11-30,0.021317582852642174,0.019717582852642173,6,6,high
2022-12-01,0.00060321013358794,-0.00099678986641206,6,6,high
2022-12-02,0.011136965987840561,0.00953696598784056,6,6,high
2022-12-03,-7.885663209785797e-05,-0.001678856632097858,6,6,high
2022-12-04,0.006000715094382918,0.0044007150943829185,6,6,high
2022-12-05,0.0023258878884303866,0.0007258878884303865,6,6,high
2022-12-06,0.004231067397241141,0.002631067397241141,6,6,high
2022-12-07,0.001296486093862433,-0.00030351390613756715,6,6,high
2022-12-08,-0.003127107071789783,-0.004727107071789783,6,6,high
2022-12-09,-0.007850591373308707,-0.009450591373308708,6,6,high
2022-12-10,0.016724977646660276,0.015124977646660275,6,6,low
2022-12-11,0.017052084238163758,0.015452084238163757,6,6,low
2022-12-12,0.011699151000157743,0.010099151000157743,6,6,low
2022-12-13,0.04517740838883979,0.04357740838883979,6,6,low
2022-12-14,0.026199080639533502,0.0245990806395335,6,6,low
2022-12-15,0.021397805529369082,0.01979780552936908,6,6,low
2022-12-16,0.006675176073722642,0.005075176073722642,6,6,low
2022-12-17,0.015257713180398437,0.013657713180398436,6,6,low
2022-12-18,0.0074681826291762505,0.005868182629176251,6,6,low
2022-12-19,-0.007790119773375572,-0.009390119773375573,6,6,low
2022-12-20,-0.0075293657896127785,-0.009129365789612778,6,6,low
2022-12-21,-0.0032647729976265387,-0.0048647729976265385,6,6,low
2022-12-22,0.0047649992475137844,0.0031649992475137846,6,6,low
2022-12-23,0.003423062982297353,0.001823062982297353,6,6,low
2022-12-24,-0.007810567894178643,-0.009410567894178642,6,6,low
2022-12-25,0.00994002703240295,0.00834002703240295,6,6,low
2022-12-26,0.017886962223976812,0.01628696222397681,6,6,low
2022-12-27,-0.0005581474132670891,-0.002158147413267089,6,6,low
2022-12-28,-0.005461511494747605,-0.007061511494747605,6,6,low
2022-12-29,-0.0031566079954918258,-0.004756607995491826,6,6,low
2022-12-30,-0.009368930983534765,-0.010968930983534766,6,6,low
2022-12-31,-0.0110801751385665,-0.0126801751385665,6,6,low
2023-01-01,-0.023265403134486686,-0.024865403134486687,6,6,low
2023-01-02,-0.014028997674536607,-0.015628997674536606,6,6,low
2023-01-03,-0.008238027980443471,-0.009838027980443472,6,6,low
2023-01-04,-0.0028582236090203073,-0.004458223609020307,6,6,low
2023-01-05,0.01611101700464004,0.01451101700464004,6,6,low
2023-01-06,0.027055939101618055,0.025455939101618055,6,6,low
2023-01-07,0.02545634165961376,0.02385634165961376,6,6,low
2023-01-08,0.009703433219732178,0.008103433219732177,6,6,low
2023-01-09,-0.006367413726896587,-0.007967413726896588,6,6,low
2023-01-10,-0.004905849172330258,-0.006505849172330258,6,6,low
2023-01-11,0.04068574033446839,0.03908574033446839,6,6,low
2023-01-12,0.019140990110772062,0.01754099011077206,6,6,low
2023-01-13,0.02980283369564516,0.02820283369564516,6,6,low
2023-01-14,-0.0003129588139490838,-0.0019129588139490839,6,6,low
2023-01-15,-0.008652047775464373,-0.010252047775464374,6,6,low
2023-01-16,-0.007773312385695159,-0.00937331238569516,6,6,low
2023-01-17,0.007056483847197443,0.005456483847197443,6,6,low
2023-01-18,0.016828906987922353,0.015228906987922352,6,6,low
2023-01-19,0.01334806815502957,0.01174806815502957,6,6,low
2023-01-20,0.008441170057073438,0.006841170057073438,6,6,low
2023-01-21,-0.004829761284404724,-0.006429761284404724,6,6,low
2023-01-22,0.005638600222155818,0.004038600222155818,6,6,low
2023-01-23,0.001560734454292971,-3.926554570702918e-05,6,6,low
2023-01-24,-0.0037910991621892265,-0.005391099162189226,6,6,low
2023-01-25,-0.03122613900958346,-0.032826139009583456,6,6,low
2023-01-26,0.0008307554300173194,-0.0007692445699826807,6,6,low
2023-01-27,-0.022572685357416685,-0.024172685357416686,6,6,low
2023-01-28,-0.01902429656915402,-0.02062429656915402,6,6,low
2023-01-29,-0.00033371036278633865,-0.0019337103627863387,6,6,low
